"","researcher","hourdate_HOBO","hour_ELITECH","temp","intensity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","humidity.Ephedra californica","humidity.triangle","humidity.square","humidity.open"
"1","ng","04/20/23 03:00:00  PM","",37.494,4608,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,NA,NA,NA,NA
"17447","ng","","2023-04-20 20:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,29.2,NA,NA
"17448","ng","","2023-04-20 21:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,26.5,NA,NA
"17449","ng","","2023-04-20 22:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,19.8,NA,NA
"17450","ng","","2023-04-20 23:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,18.8,NA,NA
"17451","ng","","2023-04-21 0:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,17.4,NA,NA
"17452","ng","","2023-04-21 1:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,17.6,NA,NA
"17453","ng","","2023-04-21 2:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,18.8,NA,NA
"17454","ng","","2023-04-21 3:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,47.1,NA,NA
"17455","ng","","2023-04-21 4:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,51.4,NA,NA
"17456","ng","","2023-04-21 5:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,53.8,NA,NA
"17457","ng","","2023-04-21 6:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,66.5,NA,NA
"17458","ng","","2023-04-21 7:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,61.1,NA,NA
"17459","ng","","2023-04-21 8:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,68.1,NA,NA
"17460","ng","","2023-04-21 9:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,67.7,NA,NA
"17461","ng","","2023-04-21 10:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,68.9,NA,NA
"17462","ng","","2023-04-21 11:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,78.7,NA,NA
"17463","ng","","2023-04-21 12:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,77.6,NA,NA
"17464","ng","","2023-04-21 13:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,79.9,NA,NA
"17465","ng","","2023-04-21 14:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,60.3,NA,NA
"17466","ng","","2023-04-21 15:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,36.7,NA,NA
"17467","ng","","2023-04-21 16:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,30.3,NA,NA
"17468","ng","","2023-04-21 17:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,29.1,NA,NA
"17469","ng","","2023-04-21 18:07",NA,NA,2101001641,35.11927,-119.62986,"San Joaquin","Carrizo_4","ELITECH",2,NA,25.7,NA,NA
