"Plot Title: 20881725"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20881725, SEN S/N: 20881725)","Intensity, lum/ft² (LGR S/N: 20881725, SEN S/N: 20881725)","Coupler Detached (LGR S/N: 20881725)","Host Connected (LGR S/N: 20881725)","Coupler Attached (LGR S/N: 20881725)","Stopped (LGR S/N: 20881725)","End Of File (LGR S/N: 20881725)"
1,10/01/21 01:24:16  PM,22.429,0.0,,,,,
2,10/01/21 01:24:20  PM,,,Logged,,,,
3,10/01/21 02:24:16  PM,23.004,32.0,,,,,
4,10/01/21 03:24:16  PM,21.951,3.0,,,,,
5,10/01/21 04:24:16  PM,21.855,1.0,,,,,
6,10/01/21 05:24:16  PM,21.855,0.0,,,,,
7,10/01/21 06:24:16  PM,21.855,0.0,,,,,
8,10/01/21 07:24:16  PM,21.855,0.0,,,,,
9,10/01/21 08:24:16  PM,21.855,0.0,,,,,
10,10/01/21 09:24:16  PM,21.855,0.0,,,,,
11,10/01/21 10:24:16  PM,21.855,0.0,,,,,
12,10/01/21 11:24:16  PM,21.855,0.0,,,,,
13,10/02/21 12:24:16  AM,21.855,0.0,,,,,
14,10/02/21 01:24:16  AM,21.855,0.0,,,,,
15,10/02/21 02:24:16  AM,21.855,0.0,,,,,
16,10/02/21 03:24:16  AM,21.855,0.0,,,,,
17,10/02/21 04:24:16  AM,21.855,0.0,,,,,
18,10/02/21 05:24:16  AM,21.855,0.0,,,,,
19,10/02/21 06:24:16  AM,21.760,0.0,,,,,
20,10/02/21 07:24:16  AM,21.760,0.0,,,,,
21,10/02/21 08:24:16  AM,21.760,2.0,,,,,
22,10/02/21 09:24:16  AM,22.525,41.0,,,,,
23,10/02/21 10:24:16  AM,21.951,4.0,,,,,
24,10/02/21 11:24:16  AM,21.951,6.0,,,,,
25,10/02/21 12:24:16  PM,21.664,5.0,,,,,
26,10/02/21 01:24:16  PM,21.473,4.0,,,,,
27,10/02/21 02:24:16  PM,21.378,2.0,,,,,
28,10/02/21 03:24:16  PM,21.187,1.0,,,,,
29,10/02/21 04:24:16  PM,21.091,1.0,,,,,
30,10/02/21 05:24:16  PM,21.855,0.0,,,,,
31,10/02/21 06:24:16  PM,21.855,0.0,,,,,
32,10/02/21 07:24:16  PM,21.760,0.0,,,,,
33,10/02/21 08:24:16  PM,21.760,0.0,,,,,
34,10/02/21 09:24:16  PM,21.760,0.0,,,,,
35,10/02/21 10:24:16  PM,21.760,0.0,,,,,
36,10/02/21 11:24:16  PM,21.760,0.0,,,,,
37,10/03/21 12:24:16  AM,21.760,0.0,,,,,
38,10/03/21 01:24:16  AM,21.760,0.0,,,,,
39,10/03/21 02:24:16  AM,21.855,0.0,,,,,
40,10/03/21 03:24:16  AM,21.760,0.0,,,,,
41,10/03/21 04:24:16  AM,21.855,0.0,,,,,
42,10/03/21 05:24:16  AM,21.855,0.0,,,,,
43,10/03/21 06:24:16  AM,21.855,0.0,,,,,
44,10/03/21 07:24:16  AM,21.855,0.0,,,,,
45,10/03/21 08:24:16  AM,21.855,0.0,,,,,
46,10/03/21 09:24:16  AM,21.855,0.0,,,,,
47,10/03/21 10:24:16  AM,21.855,1.0,,,,,
48,10/03/21 11:24:16  AM,21.855,0.0,,,,,
49,10/03/21 12:24:16  PM,21.855,0.0,,,,,
50,10/03/21 01:24:16  PM,21.855,1.0,,,,,
51,10/03/21 02:24:16  PM,21.855,1.0,,,,,
52,10/03/21 03:24:16  PM,21.855,0.0,,,,,
53,10/03/21 04:24:16  PM,21.951,0.0,,,,,
54,10/03/21 05:24:16  PM,21.855,0.0,,,,,
55,10/03/21 06:24:16  PM,21.855,0.0,,,,,
56,10/03/21 07:24:16  PM,21.855,0.0,,,,,
57,10/03/21 08:24:16  PM,21.855,0.0,,,,,
58,10/03/21 09:24:16  PM,21.855,0.0,,,,,
59,10/03/21 10:24:16  PM,21.855,0.0,,,,,
60,10/03/21 11:24:16  PM,21.855,0.0,,,,,
61,10/04/21 12:24:16  AM,21.855,0.0,,,,,
62,10/04/21 01:24:16  AM,21.855,0.0,,,,,
63,10/04/21 02:24:16  AM,21.855,0.0,,,,,
64,10/04/21 03:24:16  AM,21.855,0.0,,,,,
65,10/04/21 04:24:16  AM,21.855,0.0,,,,,
66,10/04/21 05:24:16  AM,21.855,0.0,,,,,
67,10/04/21 06:24:16  AM,21.855,0.0,,,,,
68,10/04/21 07:24:16  AM,21.855,0.0,,,,,
69,10/04/21 08:24:16  AM,21.855,0.0,,,,,
70,10/04/21 09:24:16  AM,21.855,0.0,,,,,
71,10/04/21 10:24:16  AM,21.855,0.0,,,,,
72,10/04/21 11:24:16  AM,21.855,0.0,,,,,
73,10/04/21 12:24:16  PM,21.855,0.0,,,,,
74,10/04/21 01:24:16  PM,21.855,0.0,,,,,
75,10/04/21 02:24:16  PM,21.855,0.0,,,,,
76,10/04/21 03:24:16  PM,21.855,0.0,,,,,
77,10/04/21 04:24:16  PM,21.855,0.0,,,,,
78,10/04/21 05:24:16  PM,21.855,0.0,,,,,
79,10/04/21 06:24:16  PM,21.855,0.0,,,,,
80,10/04/21 07:24:16  PM,21.855,0.0,,,,,
81,10/04/21 08:24:16  PM,21.855,0.0,,,,,
82,10/04/21 09:24:16  PM,21.855,0.0,,,,,
83,10/04/21 10:24:16  PM,21.855,0.0,,,,,
84,10/04/21 11:24:16  PM,21.855,0.0,,,,,
85,10/05/21 12:24:16  AM,21.855,0.0,,,,,
86,10/05/21 01:24:16  AM,21.855,0.0,,,,,
87,10/05/21 02:24:16  AM,21.760,0.0,,,,,
88,10/05/21 03:24:16  AM,21.855,0.0,,,,,
89,10/05/21 04:24:16  AM,21.855,0.0,,,,,
90,10/05/21 05:24:16  AM,21.760,0.0,,,,,
91,10/05/21 06:24:16  AM,21.760,0.0,,,,,
92,10/05/21 07:24:16  AM,21.760,0.0,,,,,
93,10/05/21 08:24:16  AM,21.760,0.0,,,,,
94,10/05/21 09:24:16  AM,21.855,0.0,,,,,
95,10/05/21 10:24:16  AM,21.855,0.0,,,,,
96,10/05/21 11:24:16  AM,21.760,1.0,,,,,
97,10/05/21 12:24:16  PM,21.855,1.0,,,,,
98,10/05/21 01:24:16  PM,21.855,0.0,,,,,
99,10/05/21 02:24:16  PM,21.855,0.0,,,,,
100,10/05/21 03:24:16  PM,21.855,0.0,,,,,
101,10/05/21 04:24:16  PM,21.855,0.0,,,,,
102,10/05/21 05:24:16  PM,21.855,0.0,,,,,
103,10/05/21 06:24:16  PM,21.855,0.0,,,,,
104,10/05/21 07:24:16  PM,21.855,0.0,,,,,
105,10/05/21 08:24:16  PM,21.855,0.0,,,,,
106,10/05/21 09:24:16  PM,21.855,0.0,,,,,
107,10/05/21 10:24:16  PM,21.855,0.0,,,,,
108,10/05/21 11:24:16  PM,21.855,0.0,,,,,
109,10/06/21 12:24:16  AM,21.855,0.0,,,,,
110,10/06/21 01:24:16  AM,21.855,0.0,,,,,
111,10/06/21 02:24:16  AM,21.855,0.0,,,,,
112,10/06/21 03:24:16  AM,21.855,0.0,,,,,
113,10/06/21 04:24:16  AM,21.855,0.0,,,,,
114,10/06/21 05:24:16  AM,21.855,0.0,,,,,
115,10/06/21 06:24:16  AM,21.855,0.0,,,,,
116,10/06/21 07:24:16  AM,21.855,0.0,,,,,
117,10/06/21 08:24:16  AM,21.855,4.0,,,,,
